SQL_ApplicationId,SQL_TransactionId,API_TransactionId,SQL_Workflowid,API_Workflowid,SQL_DisplayName,API_DisplayName,SQL_StartDate,API_StartDate,SQL_EndDate,API_EndDate,SQL_AppliedDate,API_AppliedDate,SQL_TransactionStatus,API_TransactionStatus,SQL_TransactionSequence,API_TransactionSequence,SQL_TransactionSubTypeOtherDescription,SQL_TransactionSubTypeOtherDescription,SQL_ReasonForChange,API_ReasonForChange,Status
76114,274858,274858,394CBEFC-917E-4191-A64F-7F023A641E4C,394cbefc-917e-4191-a64f-7f023a641e4c,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,2021-01-05 17:08:46.3158833 +00:00,2021-01-05T17:08:46.3158833+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76112,274848,274848,009197FC-06A3-443D-A914-9DF3E0888806,009197fc-06a3-443d-a914-9df3e0888806,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,2021-01-05 16:59:16.1522588 +00:00,2021-01-05T16:59:16.1522588+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76110,274843,274843,05909AC8-A00D-4E53-902E-E59984049E4E,05909ac8-a00d-4e53-902e-e59984049e4e,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2021-01-05 16:34:42.2023312 +00:00,2021-01-05T16:34:42.2023312+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76108,274836,274836,E40960BA-59CB-4BC0-8CB8-EEC23734BBCD,e40960ba-59cb-4bc0-8cb8-eec23734bbcd,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2021-01-05 16:17:13.2393375 +00:00,2021-01-05T16:17:13.2393375+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76106,274828,274828,3E2CA412-F93C-4AF8-9846-C4434FBD9CE1,3e2ca412-f93c-4af8-9846-c4434fbd9ce1,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2021-01-05 16:00:22.6489728 +00:00,2021-01-05T16:00:22.6489728+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76104,274821,274821,290ABB68-F05F-4A2B-8978-053FB5A97FEE,290abb68-f05f-4a2b-8978-053fb5a97fee,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2021-01-05 14:44:29.8699467 +00:00,2021-01-05T14:44:29.8699467+00:00,Not Taken Up,Not Taken Up,1,1,null,null,null,null,Test Case Passed
76104,274824,274824,F8434E10-7FDF-4ECC-AC9B-FB9013ACFA12,f8434e10-7fdf-4ecc-ac9b-fb9013acfa12,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2021-01-05 14:46:11.4308108 +00:00,2021-01-05T14:46:11.4308108+00:00,Bound,Bound,2,2,null,null,null,null,Test Case Passed
76103,274816,274816,F0700270-F208-47E4-8E91-132E3F6DF033,f0700270-f208-47e4-8e91-132e3f6df033,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76102,274814,274814,1EAF6076-2A68-4923-89A4-3F388E1EB809,1eaf6076-2a68-4923-89a4-3f388e1eb809,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76101,274810,274810,4A0A67B4-B023-4D5D-A389-8190B87B7BF3,4a0a67b4-b023-4d5d-a389-8190b87b7bf3,QUOTETRANSACTION,QUOTETRANSACTION,2020-12-01 12:00:00 +00:00,2020-12-01T12:00:00+00:00,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
